kode_skpd;nama_skpd
1.01.0.00.0.00.01.0000;DINAS PENDIDIKAN KABUPATEN SIMEULUE
1.01.0.00.0.00.02.0000;SEKRETARIAT MAJELIS PENDIDIKAN DAERAH KABUPATEN SIMEULUE
1.02.0.00.0.00.01.0000;DINAS KESEHATAN KABUPATEN SIMEULUE
1.02.0.00.0.00.01.0001;PUSKESMAS SIMEULUE TIMUR
1.02.0.00.0.00.01.0002;PUSKESMAS SIMEULUE BARAT
1.02.0.00.0.00.01.0003;PUSKESMAS SIMEULUE TENGAH
1.02.0.00.0.00.01.0004;PUSKESMAS SIMEULUE CUT
1.02.0.00.0.00.01.0005;PUSKESMAS TEUPAH TENGAH
1.02.0.00.0.00.01.0006;PUSKESMAS TEUPAH BARAT
1.02.0.00.0.00.01.0007;PUSKESMAS TEUPAH SELATAN
1.02.0.00.0.00.01.0008;PUSKESMAS SALANG
1.02.0.00.0.00.01.0009;PUSKESMAS ALAFAN
1.02.0.00.0.00.01.0010;PUSKESMAS TELUK DALAM
1.02.0.00.0.00.01.0011;PUSKESMAS SANGGIRAN
1.02.0.00.0.00.01.0012;PUSKESMAS KUALA MAKMUR
1.02.0.00.0.00.01.0013;PUSKESMAS LAMEREM
1.02.0.00.0.00.01.0014;PUSKESMAS LUAN BALU
1.02.0.00.0.00.01.0015;PUSKESMAS ALUS-ALUS
1.02.0.00.0.00.01.0017;UPTD RUMAH SAKIT UMUM DAERAH KABUPATEN SIMEULUE
1.02.0.00.0.00.02.0000;RUMAH SAKIT UMUM DAERAH KABUPATEN SIMEULUE
1.03.1.04.0.00.01.0000;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG KABUPATEN SIMEULUE
1.05.0.00.0.00.01.0000;SATUAN POLISI PAMONG PRAJA DAN WILAYATUL HISBAH KABUPATEN SIMEULUE
1.05.0.00.0.00.04.0000;BADAN PENANGGULANGAN BENCANA DAERAH KABUPATEN SIMEULUE
1.06.0.00.0.00.01.0000;DINAS SOSIAL KABUPATEN SIMEULUE
2.07.3.32.0.00.01.0000;DINAS TENAGA KERJA DAN TRANSMIGRASI KABUPATEN SIMEULUE
2.08.2.14.0.00.01.0000;DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KELUARGA BERENCANA KABUPATEN SIMEULUE
2.10.0.00.0.00.01.0000;DINAS PERTANAHAN KABUPATEN SIMEULUE
2.11.3.28.0.00.01.0000;DINAS LINGKUNGAN HIDUP KABUPATEN SIMEULUE
2.12.0.00.0.00.01.0000;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL KABUPATEN SIMEULUE
2.13.0.00.0.00.01.0000;DINAS PEMBERDAYAAN MASYARAKAT DAN DESA KABUPATEN SIMEULUE
2.15.0.00.0.00.01.0000;DINAS PERHUBUNGAN KABUPATEN SIMEULUE
2.16.2.20.2.21.03.0000;DINAS KOMUNIKASI, INFORMATIKA DAN PERSANDIAN KABUPATEN SIMEULUE
2.18.0.00.0.00.01.0000;DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU KABUPATEN SIMEULUE
2.19.0.00.0.00.01.0000;DINAS KEPEMUDAAN DAN OLAHRAGA KABUPATEN SIMEULUE
2.22.0.00.0.00.01.0000;SEKRETARIAT MAJELIS ADAT ACEH KABUPATEN SIMEULUE
2.23.2.24.0.00.01.0000;DINAS PERPUSTAKAAN DAN KEARSIPAN KABUPATEN SIMEULUE
3.25.0.00.0.00.01.0000;DINAS KELAUTAN DAN PERIKANAN KABUPATEN SIMEULUE
3.26.2.22.0.00.01.0000;DINAS PARIWISATA DAN KEBUDAYAAN KABUPATEN SIMEULUE
3.27.0.00.0.00.05.0000;DINAS PERKEBUNAN, PETERNAKAN DAN KESEHATAN HEWAN  KABUPATEN SIMEULUE
3.27.2.09.0.00.01.0000;DINAS PERTANIAN DAN PANGAN KABUPATEN SIMEULUE
3.31.3.30.2.17.02.0000;DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI DAN USAHA KECIL MENENGAH KABUPATEN SIMEULUE
4.01.0.00.0.00.01.0000;SEKRETARIAT DAERAH KABUPATEN SIMEULUE
4.02.0.00.0.00.01.0000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT KABUPATEN SIMEULUE
5.01.5.05.0.00.01.0000;BADAN PERENCANAAN PEMBANGUNAN DAERAH KABUPATEN SIMEULUE
5.02.0.00.0.00.05.0000;BADAN PENGELOLAAN KEUANGAN DAERAH KABUPATEN SIMEULUE
5.03.5.04.0.00.01.0000;BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA KABUPATEN SIMEULUE
6.01.0.00.0.00.01.0000;INSPEKTORAT KABUPATEN SIMEULUE
7.01.0.00.0.00.01.0000;KANTOR CAMAT SIMEULUE TENGAH
7.01.0.00.0.00.02.0000;KANTOR CAMAT SALANG
7.01.0.00.0.00.03.0000;KANTOR CAMAT TEUPAH BARAT
7.01.0.00.0.00.04.0000;KANTOR CAMAT SIMEULUE TIMUR
7.01.0.00.0.00.05.0000;KANTOR CAMAT TELUK DALAM
7.01.0.00.0.00.06.0000;KANTOR CAMAT SIMEULUE BARAT
7.01.0.00.0.00.07.0000;KANTOR CAMAT TEUPAH SELATAN
7.01.0.00.0.00.08.0000;KANTOR CAMAT ALAFAN
7.01.0.00.0.00.09.0000;KANTOR CAMAT TEUPAH TENGAH
7.01.0.00.0.00.10.0000;KANTOR CAMAT SIMEULUE CUT
8.01.0.00.0.00.01.0000;BADAN KESATUAN BANGSA DAN POLITIK KABUPATEN SIMEULUE
9.01.0.00.0.00.02.0000;SEKRETARIAT MAJELIS PERMUSYAWARATAN ULAMA KABUPATEN SIMEULUE
9.01.0.00.0.00.03.0000;SEKRETARIAT BAITUL MAL KABUPATEN SIMEULUE
9.01.1.01.0.00.01.0000;DINAS SYARIAT ISLAM DAN PENDIDIKAN DAYAH KABUPATEN SIMEULUE
